,,(100 = CoL in NYC),Average Temperature (ÂºF),,,,,,,,,,,
Countries,Site count,Cost Of LIving,Jan,Feb,March,April,May,June,July,August,September,October,November,December
Albania,4,36.39,42.6,44.3,47.7,54.3,62.3,69.4,73.9,74.2,67.6,59.6,51.7,45.5
Armenia,3,32.84,0.7,23.9,32.5,44.3,53.5,60.7,67.2,67.1,59.5,48.5,36.0,26.4
Austria,11,70.38,27.2,29.6,36.5,43.6,52.8,58.2,61.8,61.1,54.2,45.4,35.2,29.3
Azerbaijan,3,29.92,33.8,35.3,42.7,54.4,62.9,71.1,77.2,75.6,68.7,57.3,47.5,38.4
Belarus,4,34.70,20.6,22.2,29.8,42.9,55.4,65.6,63.7,61.9,53.5,43.3,33.4,25.3
Belgium,12,71.78,35.2,36.0,41.4,46.5,53.8,58.9,62.3,62.2,57.4,50.3,42.2,37.8
Bosnia and Herzegovina,3,35.97,32.4,34.9,42.2,48.5,56.8,63.2,67.8,66.9,60.9,51.9,42.1,34.7
Bulgaria,10,36.70,30.7,32.7,39.0,47.9,56.7,63.5,67.4,67.0,60.9,52.0,42.1,34.5
Croatia,10,49.70,39.0,40.5,46.7,53.1,61.4,68.0,72.5,71.7,65.3,57.1,46.8,40.2
Cyprus,3,57.93,52.8,53.3,56.1,62.4,68.4,75.3,80.0,80.2,76.6,70.7,62.8,56.1
Czech Republic,14,46.15,27.4,29.4,35.9,43.5,52.8,58.5,61.7,61.3,54.8,45.9,35.8,30.7
Denmark,10,83.00,33.1,32.5,35.9,42.2,51.1,57.5,61.1,60.6,55.0,48.1,40.8,35.6
Estonia,2,50.93,24.4,23.3,29.4,38.8,49.9,58.0,62.0,60.4,51.4,43.2,34.1,27.8
Finland,7,70.29,16.4,16.3,23.0,33.4,45.2,55.1,60.2,56.9,47.6,37.9,28.8,20.7
France,45,74.14,39.4,40.6,45.6,50.2,56.8,62.7,66.8,66.5,61.5,54.0,45.7,40.7
Georgia,3,28.48,40.8,42.3,46.9,54.9,62.1,69.0,73.6,73.7,67.6,59.4,51.4,44.6
Germany,46,65.26,31.3,32.3,38.3,45.2,53.5,59.3,62.5,61.8,56.2,48.1,39.0,33.8
Greece,18,55.67,47.9,48.8,52.4,58.5,66.6,74.6,78.8,78.4,72.6,64.5,56.7,50.8
Hungary,8,40.85,30.2,32.7,41.8,50.8,59.6,65.8,69.0,68.3,61.3,51.4,40.3,33.4
Iceland,3,100.48,29.2,30.6,31.4,35.3,41.4,47.0,50.2,49.5,44.7,38.0,33.8,31.1
Ireland,2,75.91,41.8,42.1,44.3,46.9,51.5,55.9,59.1,58.9,55.7,51.0,45.6,43.1
Israel,9,81.15,52.3,53.5,57.9,64.6,70.8,75.9,79.2,79.8,77.3,72.3,63.7,55.5
Italy,56,67.26,42.2,43.7,47.5,53.0,60.3,67.2,72.2,72.2,67.0,59.0,50.5,44.4
Latvia,2,47.94,25.8,25.2,31.4,39.5,50.6,58.3,62.0,60.9,53.7,44.5,35.7,29.3
Lithuania,4,44.28,24.3,24.8,32.0,42.3,53.3,59.5,62.2,61.4,54.0,44.9,35.5,28.2
Luxembourg,1,81.89,32.1,34.3,39.8,45.4,53.4,59.1,62.3,61.1,55.5,47.9,39.0,34.3
Macedonia,1,31.59,32.5,37.5,44.7,52.2,60.6,67.8,72.2,71.6,65.0,55.2,43.5,35.5
Malta,3,67.46,54.4,54.8,56.3,60.3,65.8,72.8,78.8,80.2,75.1,69.9,62.8,57.0
Moldova,1,33.70,26.6,29.4,37.4,50.2,60.9,66.9,69.5,68.9,61.5,50.8,39.9,31.7
Montenegro,4,38.23,39.2,41.2,46.8,52.6,60.7,67.3,72.1,72.2,65.8,57.8,48.1,41.5
Netherlands,10,73.75,36.4,36.1,41.6,46.3,53.6,58.7,62.5,62.5,58.1,51.5,43.5,39.6
Norway,8,101.43,24.9,25.4,30.2,36.6,46.0,53.1,56.2,55.0,48.3,41.5,32.8,27.5
Poland,16,40.04,26.5,27.3,34.9,44.2,53.3,59.7,62.6,62.0,55.3,46.9,36.7,31.0
Portugal,17,49.52,51.8,52.8,55.1,57.2,60.8,66.3,70.3,71.2,68.7,63.2,57.2,53.4
Romania,8,35.31,27.2,29.5,38.2,47.5,56.8,62.8,66.2,65.4,59.2,49.6,38.4,31.2
Russia,27,39.21,-0.7,2.2,14.1,30.2,44.6,55.8,61.2,57.9,47.6,32.7,15.2,4.1
Serbia,5,35.72,30.9,33.0,41.2,50.3,59.5,65.1,68.6,68.3,60.5,51.4,40.7,33.0
Slovakia,7,44.46,24.6,27.3,34.8,42.7,51.7,57.1,60.2,60.0,53.4,44.7,34.2,27.7
Slovenia,5,53.43,29.1,31.4,38.2,45.1,53.6,59.6,63.4,62.6,57.1,48.4,38.3,31.6
Spain,48,53.77,49.0,50.6,53.6,56.2,61.4,67.7,72.7,73.3,69.2,62.2,55.2,50.7
Sweden,15,69.85,23.4,22.8,28.8,36.6,47.1,55.5,60.7,58.3,50.6,41.5,32.6,26.1
Switzerland,12,122.40,27.2,29.0,34.2,40.5,48.3,54.2,58.5,57.3,52.2,44.6,34.8,29.0
Turkey,18,34.69,36.1,38.1,43.7,52.5,60.4,67.8,73.3,73.0,67.0,57.7,47.7,39.9
Ukraine,7,33.18,25.8,27.0,35.1,47.9,59.0,65.9,69.4,68.1,59.3,48.4,37.5,30.0
United Kingdom,32,67.28,39.4,39.6,42.7,46.2,51.5,56.4,60.1,59.8,55.9,50.2,44.1,40.2
Vatican City,2,68.39,47.0,48.0,52.0,55.0,63.0,69.0,75.0,75.0,71.0,64.0,55.0,49.0
,,,,,,,,,,,,,,
Mean,11.7173913,55.73,32.7,34.5,40.3,47.7,56.1,62.8,66.7,66.1,60.0,51.7,42.5,36.1
Median,7.5,50.32,31.7,32.9,40.5,47.2,56.1,62.8,66.5,66.0,59.3,50.6,40.8,34.4
Range,55,93.92,55.1,52.6,43.8,34.4,29.4,28.9,29.8,30.7,32.6,39.6,48.5,52.9